id,release_id,information_system,information_institution,information_storage_vendor,information_filesystem_type,information_client_nodes,information_client_total_procs,io500_score,io500_bw,io500_md,io500_tot_iops,information_data,information_10_node_challenge,information_list_name,information_identifier,information_submitter,information_submission_date,information_embargo_end_date,information_storage_install_date,information_storage_refresh_date,information_filesystem_name,information_filesystem_version,information_client_procs_per_node,information_client_operating_system,information_client_operating_system_version,information_client_kernel_version,information_md_nodes,information_md_storage_devices,information_md_storage_type,information_md_volatile_memory_capacity,information_md_storage_interface,information_md_network,information_md_software_version,information_md_operating_system_version,information_ds_nodes,information_ds_storage_devices,information_ds_storage_type,information_ds_volatile_memory_capacity,information_ds_storage_interface,information_ds_network,information_ds_software_version,information_ds_operating_system_version,information_note,information_best,ior_easy_write,ior_easy_read,ior_hard_write,ior_hard_read,mdtest_easy_write,mdtest_easy_stat,mdtest_easy_delete,mdtest_hard_write,mdtest_hard_read,mdtest_hard_stat,mdtest_hard_delete,find_easy,find_hard,marker_score,marker_md,storage_data,status,include_in_io500,valid_from,valid_to
382,SC18*,Mistral,DKRZ,Seagate,Lustre2,100,1000,32.150000,22.770000,45.390000,60.760000,,,-,2018_16,,1/1/19,,,,lustre02,,10,,,,,,,,,,,,,,,,,,,,"Measured using the C-App",true,158.19000,163.62,1.53,6.79,18.15,153.05,7.74,17.80,37.58,156.07,8.80,,,-,-,-,VALID,1,1/1/19,10/31/19
445,SC18*,Mistral,DKRZ,Seagate,Lustre2,100,1000,32.150000,22.770000,45.390000,60.760000,,,-,2018_16,,1/1/19,,,,lustre02,,10,,,,,,,,,,,,,,,,,,,,"Measured using the C-App",true,158.19000,163.62,1.53,6.79,18.15,153.05,7.74,17.80,37.58,156.07,8.80,,,-,-,-,VALID,1,1/1/19,10/31/19
324,SC18*,Bancholab,DDN,DDN,Lustre,10,240,31.500000,6.330000,156.690000,90.580000,zip,,-,2018-11-5,"Shuichi Ihara",1/1/19,,11/2016,11/2017,ES-H,2.12,24,CentOS,7.4,3.10.0-693.21.1.el7.x86_64,4,8,SSD,96GB,SAS,"EDR InfiniBand",Lustre,7.5,4,100,HDD,90GB,SAS,"EDR InfiniBand",Lusre,7.5,,true,37.54000,35.37,0.26,4.63,199.69,527.67,226.09,21.22,46.14,79.48,58.84,,,-,-,-,VALID,1,1/1/19,10/31/19
387,SC18*,Bancholab,DDN,DDN,Lustre,10,240,31.500000,6.330000,156.690000,90.580000,zip,,-,2018-11-5,"Shuichi Ihara",1/1/19,,11/2016,11/2017,ES-H,2.12,24,CentOS,7.4,3.10.0-693.21.1.el7.x86_64,4,8,SSD,96GB,SAS,"EDR InfiniBand",Lustre,7.5,4,100,HDD,90GB,SAS,"EDR InfiniBand",Lusre,7.5,,true,37.54000,35.37,0.26,4.63,199.69,527.67,226.09,21.22,46.14,79.48,58.84,,,-,-,-,VALID,1,1/1/19,10/31/19
373,SC18*,Mistral,DKRZ,Seagate,Lustre2,100,1200,29.330000,20.350000,42.290000,55.820000,zip,,-,2018_7,,1/1/19,,,,lustre02,,12,,,,,,,,,,,,,,,,,,,,,,88.47000,169.16,1.82,6.29,19.43,165.75,7.16,18.94,42.91,162.29,8.10,,,-,-,-,VALID,1,1/1/19,10/31/19
436,SC18*,Mistral,DKRZ,Seagate,Lustre2,100,1200,29.330000,20.350000,42.290000,55.820000,zip,,-,2018_7,,1/1/19,,,,lustre02,,12,,,,,,,,,,,,,,,,,,,,,,88.47000,169.16,1.82,6.29,19.43,165.75,7.16,18.94,42.91,162.29,8.10,,,-,-,-,VALID,1,1/1/19,10/31/19
257,SC18*,bracewell,CSIRO,Dell/ThinkParQ,BeeGFS,16,64,26.440000,7.110000,98.260000,68.990000,zip,,-,2019-06-32,anonymous,11/23/18,06/2019,10/18,,"unamed at this point",7.1,4,SUSE,"SLES 12 SP3",4.4,2,24,NVMe,384GB,NVMe,"IB EDR",7.1,"SLES 12 SP3",8,24,NVMe,192GB,NVMe,"IB EDR",7.1,"SLES 12 SP3",,,40.87000,54.31,0.35,3.33,133.58,367.29,54.48,138.08,34.40,137.88,12.77,389,,-,-,-,VALID,1,11/23/18,10/31/19
377,SC18*,Sonasad,IBM,IBM,"Spectrum Scale",10,10,24.240000,4.570000,128.610000,71.220000,zip,,-,2018_11,,1/1/19,,,,,,1,,,,,,,,,,,,,,,,,,,,,true,34.13000,32.25,0.17,2.33,57.22,342.33,47.56,21.57,632.98,529.90,85.34,,,-,-,-,VALID,1,1/1/19,10/31/19
440,SC18*,Sonasad,IBM,IBM,"Spectrum Scale",10,10,24.240000,4.570000,128.610000,71.220000,zip,,-,2018_11,,1/1/19,,,,,,1,,,,,,,,,,,,,,,,,,,,,true,34.13000,32.25,0.17,2.33,57.22,342.33,47.56,21.57,632.98,529.90,85.34,,,-,-,-,VALID,1,1/1/19,10/31/19
355,SC18*,ofsdev,"Clemson University",Dell,BeeGFS,32,32,22.020000,8.550000,56.680000,50.830000,zip,,-,2018-11-36,"Clemson ACI",1/1/19,,05/2012,08/2018,/mnt/beegfs,7,1,"Oracle Linux",7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.4,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.4,,true,14.66000,6.81,7.78,6.89,103.03,365.33,154.46,6.74,16.85,70.07,8.34,,,-,-,-,VALID,1,1/1/19,10/31/19
418,SC18*,ofsdev,"Clemson University",Dell,BeeGFS,32,32,22.020000,8.550000,56.680000,50.830000,zip,,-,2018-11-36,"Clemson ACI",1/1/19,,05/2012,08/2018,/mnt/beegfs,7,1,"Oracle Linux",7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.4,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.4,,true,14.66000,6.81,7.78,6.89,103.03,365.33,154.46,6.74,16.85,70.07,8.34,,,-,-,-,VALID,1,1/1/19,10/31/19
380,SC18*,Seislab,Fraunhofer,ThinkparQ,BeeGFS,24,24,16.960000,5.130000,56.140000,42.580000,,,-,2018_14,,1/1/19,,,,,,1,,,,,,,,,,,,,,,,,,,,,true,18.79000,22.34,0.89,1.86,103.15,433.14,172.95,5.38,13.87,57.40,13.87,,,-,-,-,VALID,1,1/1/19,10/31/19
443,SC18*,Seislab,Fraunhofer,ThinkparQ,BeeGFS,24,24,16.960000,5.130000,56.140000,42.580000,,,-,2018_14,,1/1/19,,,,,,1,,,,,,,,,,,,,,,,,,,,,true,18.79000,22.34,0.89,1.86,103.15,433.14,172.95,5.38,13.87,57.40,13.87,,,-,-,-,VALID,1,1/1/19,10/31/19
339,SC18*,ofsdev,"Clemson University",Dell,BeeGFS,16,16,16.220000,7.330000,35.880000,35.600000,zip,,-,2018-11-20,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,1,"Oracle Linux",7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.5,,,15.23000,12.03,3.85,4.09,37.13,129.05,63.88,6.58,11.36,73.13,7.70,,,-,-,-,VALID,1,1/1/19,10/31/19
402,SC18*,ofsdev,"Clemson University",Dell,BeeGFS,16,16,16.220000,7.330000,35.880000,35.600000,zip,,-,2018-11-20,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,1,"Oracle Linux",7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.5,,,15.23000,12.03,3.85,4.09,37.13,129.05,63.88,6.58,11.36,73.13,7.70,,,-,-,-,VALID,1,1/1/19,10/31/19
372,SC18*,Mistral,DKRZ,Seagate,Lustre1,100,1200,15.470000,12.680000,18.880000,27.850000,zip,,-,2018_6,,1/1/19,,,,lustre01,,12,,,,,,,,,,,,,,,,,,,,,,40.91000,123.39,1.00,5.13,11.77,46.84,5.25,10.76,19.00,43.55,6.33,,,-,-,-,VALID,1,1/1/19,1/1/19
